Name	Index Year	Overall Score	Business Freedom	Trade Freedom	Fiscal Freedom	Government Spending	Monetary Freedom	Investment Freedom	Financial Freedom	Property Rights	Freedom From Corruption	Labor Freedom
Kiribati	2011	44,8	62,9	55,4	60,3	0,0	71,1	25,0	30,0	30,0	28,0	85,1
Kuwait	2011	64,9	64,4	81,6	99,9	69,7	69,3	55,0	50,0	50,0	41,0	67,9
"Kyrgyz Republic "	2011	61,1	75,4	63,2	92,6	74,2	68,6	55,0	50,0	25,0	19,0	88,1
Laos	2011	51,3	58,8	68,4	79,9	90,1	80,4	25,0	20,0	20,0	20,0	49,9
Latvia	2011	65,8	72,8	87,6	82,5	55,5	73,5	80,0	50,0	50,0	45,0	61,3
Lebanon	2011	60,1	57,5	80,5	91,0	64,9	77,7	60,0	60,0	25,0	25,0	59,0
Lesotho	2011	47,5	58,9	63,6	48,2	21,4	71,6	35,0	40,0	40,0	33,0	63,7
Liberia	2011	46,5	51,8	53,8	73,3	66,5	69,5	20,0	20,0	30,0	31,0	48,9
Libya	2011	38,6	20,0	85,0	80,3	44,5	71,0	10,0	20,0	10,0	25,0	20,0
Liechtenstein	2011	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Lithuania	2011	71,3	81,7	87,6	86,1	58,0	74,5	80,0	80,0	60,0	49,0	55,6
Luxembourg	2011	76,2	76,4	87,6	66,7	58,5	82,1	95,0	80,0	90,0	82,0	44,1
Macau	2011	73,1	60,0	90,0	76,6	93,3	83,4	85,0	70,0	60,0	53,0	60,0
Macedonia	2011	66,0	64,6	83,6	90,0	64,3	84,5	60,0	60,0	35,0	38,0	79,7
Madagascar	2011	61,2	60,0	73,2	87,8	89,7	75,9	55,0	50,0	40,0	30,0	50,7
Malawi	2011	55,8	42,4	71,0	79,3	56,7	71,6	50,0	50,0	45,0	33,0	59,1
"Malaysia "	2011	66,3	69,7	78,7	84,6	79,2	81,3	45,0	50,0	50,0	45,0	79,2
Maldives	2011	48,3	81,5	43,8	95,6	0,0	74,1	35,0	30,0	25,0	25,0	73,4
Mali	2011	56,3	51,2	73,2	60,5	86,5	77,6	50,0	40,0	30,0	28,0	65,8
Malta	2011	65,7	70,0	87,6	62,5	39,8	80,1	75,0	60,0	70,0	52,0	60,0
Mauritania	2011	52,1	48,3	69,9	81,1	73,9	77,4	30,0	40,0	25,0	25,0	50,3
Mauritius	2011	76,2	82,0	88,0	91,9	80,0	76,1	90,0	70,0	60,0	54,0	70,4
Mexico	2011	67,8	87,3	81,2	81,3	83,1	75,7	65,0	60,0	50,0	33,0	60,9
Micronesia	2011	50,3	58,7	81,0	97,6	0,0	73,4	20,0	30,0	30,0	30,0	82,4
Moldova	2011	55,7	69,5	80,2	85,6	48,1	77,0	35,0	50,0	40,0	33,0	39,0
Mongolia	2011	59,5	67,7	79,8	83,3	49,6	73,6	50,0	60,0	30,0	27,0	74,1
Montenegro	2011	62,5	71,3	83,6	89,4	28,6	76,0	55,0	50,0	40,0	39,0	92,3
Morocco	2011	59,6	75,7	75,8	67,8	74,6	76,5	65,0	60,0	40,0	33,0	27,2
"Mozambique "	2011	56,8	63,1	81,0	77,5	76,5	80,3	45,0	50,0	30,0	25,0	39,2
Namibia	2011	62,7	72,9	86,4	67,9	74,8	70,9	55,0	40,0	30,0	45,0	84,6
Nepal	2011	50,1	59,2	61,4	86,4	88,4	73,8	5,0	30,0	30,0	23,0	44,3
New Zealand	2011	82,3	99,9	86,6	64,7	49,3	84,8	80,0	80,0	95,0	94,0	89,2
"Nicaragua "	2011	58,8	54,3	84,8	78,8	81,3	71,7	55,0	50,0	20,0	25,0	67,1
Niger	2011	54,3	36,9	71,8	77,5	83,0	80,0	55,0	40,0	30,0	29,0	40,3
Nigeria	2011	56,7	51,6	65,0	84,4	73,0	73,5	40,0	40,0	30,0	25,0	84,5
North Korea	2011	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	5,0	5,0	0,0
Norway	2011	70,3	88,3	89,4	51,6	51,5	75,1	65,0	60,0	90,0	86,0	45,8
Oman	2011	69,8	69,4	83,6	98,5	68,1	69,5	55,0	60,0	50,0	55,0	89,1
"Pakistan "	2011	55,1	70,9	67,0	80,5	88,8	63,6	40,0	40,0	30,0	24,0	46,3
"Panama "	2011	64,9	75,1	75,8	82,6	88,6	77,1	65,0	70,0	40,0	34,0	41,1
Papua New Guinea	2011	52,6	60,2	85,4	66,3	63,3	72,9	35,0	30,0	20,0	21,0	72,4
"Paraguay "	2011	62,3	61,7	83,0	97,6	93,4	80,9	70,0	60,0	30,0	21,0	24,9
Peru	2011	68,6	71,9	86,0	79,4	91,0	83,1	70,0	60,0	40,0	37,0	67,7
Poland	2011	64,1	61,4	87,6	74,0	43,8	78,1	65,0	60,0	60,0	50,0	61,2
Portugal	2011	64,0	80,1	87,6	61,1	36,2	82,3	70,0	60,0	70,0	58,0	34,7
Qatar	2011	70,5	70,3	82,4	99,8	78,1	71,9	45,0	50,0	70,0	70,0	67,0
"Republic of Congo "	2011	43,6	40,8	61,0	61,8	79,7	71,4	20,0	30,0	10,0	19,0	42,3
Romania	2011	64,7	72,0	87,6	86,8	57,6	74,4	80,0	50,0	40,0	38,0	60,8
Russia	2011	50,5	50,7	68,2	82,7	65,1	63,1	25,0	40,0	25,0	22,0	62,9
Rwanda	2011	62,7	76,9	77,8	76,9	78,6	68,5	50,0	40,0	35,0	33,0	89,9
Saint Lucia	2011	70,8	86,2	71,9	74,4	71,4	85,3	55,0	40,0	70,0	70,0	83,4
Saint Vincent and the Grenadines	2011	66,9	79,3	73,3	72,3	65,1	78,2	50,0	40,0	70,0	64,0	76,8
Samoa	2011	60,6	72,8	70,0	80,1	67,9	68,5	30,0	30,0	60,0	45,0	82,1
"São Tomé and Príncipe "	2011	49,5	32,0	66,6	87,2	67,5	62,2	45,0	30,0	30,0	28,0	46,4
Saudi Arabia	2011	66,2	86,1	82,2	99,4	74,6	64,3	40,0	50,0	45,0	43,0	77,0
Senegal	2011	55,7	62,3	73,2	65,4	78,8	79,7	45,0	40,0	40,0	30,0	42,9
"Serbia "	2011	58,0	59,0	75,2	83,6	41,9	66,0	60,0	50,0	40,0	35,0	68,9
Seychelles	2011	51,2	62,4	33,4	77,7	52,5	54,9	45,0	30,0	50,0	48,0	58,1
Sierra Leone	2011	49,6	54,9	62,8	80,8	86,8	74,2	45,0	20,0	10,0	22,0	39,4
Singapore	2011	87,2	98,2	90,0	91,1	91,3	86,2	75,0	60,0	90,0	92,0	98,0
Slovakia	2011	69,5	73,4	87,6	84,2	63,7	81,6	75,0	70,0	50,0	45,0	64,5
Slovenia	2011	64,6	83,6	87,6	65,1	41,1	80,5	70,0	50,0	60,0	66,0	41,8
Solomon Islands	2011	45,9	59,8	62,4	69,2	32,9	70,4	10,0	30,0	30,0	28,0	66,6
South Africa	2011	62,7	72,3	77,2	69,6	77,5	71,9	45,0	60,0	50,0	47,0	56,7
South Korea	2011	69,8	91,6	70,8	72,2	73,0	78,7	70,0	70,0	70,0	55,0	46,5
Spain	2011	70,2	77,2	87,6	61,0	49,3	82,4	80,0	80,0	70,0	61,0	53,0
Sri Lanka	2011	57,1	71,9	72,2	73,4	84,7	65,8	30,0	40,0	40,0	31,0	61,8
Sudan	2011	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Suriname	2011	53,1	40,7	66,4	68,1	80,3	76,4	10,0	30,0	40,0	37,0	81,8
Swaziland	2011	59,1	66,4	79,8	67,2	65,9	71,0	55,0	40,0	40,0	36,0	69,4
Sweden	2011	71,9	95,0	87,6	37,6	17,3	80,1	85,0	80,0	90,0	92,0	54,0
Switzerland	2011	81,9	80,2	90,0	68,4	69,3	83,8	80,0	80,0	90,0	90,0	87,8
Syria	2011	51,3	55,9	65,4	84,6	85,3	69,7	20,0	20,0	30,0	26,0	55,8
Taiwan	2011	70,8	84,7	86,2	78,3	89,7	82,0	65,0	50,0	70,0	56,0	46,1
Tajikistan	2011	53,5	60,7	82,5	88,6	77,3	64,5	20,0	40,0	25,0	20,0	56,4
Tanzania	2011	57,0	46,0	69,6	79,8	80,5	68,8	60,0	50,0	30,0	26,0	59,0
"Thailand "	2011	64,7	69,9	75,9	74,8	90,6	70,8	40,0	70,0	45,0	34,0	76,3
The Bahamas	2011	68,0	72,5	42,2	97,2	86,9	74,6	30,0	70,0	70,0	55,0	81,3
The Gambia	2011	57,4	57,8	60,4	73,2	79,7	71,4	55,0	50,0	30,0	29,0	67,2
The Netherlands	2011	74,7	81,9	87,6	50,6	36,8	82,7	90,0	80,0	90,0	89,0	58,3
The Philippines	2011	56,2	43,4	77,8	78,8	91,0	76,3	40,0	50,0	30,0	24,0	50,7
Timor-Leste	2011	42,8	44,2	73,0	64,7	0,0	78,1	30,0	20,0	20,0	22,0	76,5
Togo	2011	49,1	36,8	62,2	68,1	88,6	78,1	25,0	30,0	30,0	28,0	43,7
Tonga	2011	55,8	77,4	56,2	83,1	73,2	71,1	30,0	20,0	25,0	30,0	92,1
Trinidad and Tobago	2011	66,5	58,4	81,7	83,7	75,8	71,8	60,0	70,0	50,0	36,0	77,1
Tunisia	2011	58,5	80,2	53,5	73,7	77,6	77,3	35,0	30,0	50,0	42,0	65,7
Turkey	2011	64,2	68,7	85,4	78,2	83,6	72,7	70,0	50,0	50,0	44,0	39,6
Turkmenistan	2011	43,6	30,0	79,2	93,6	95,5	69,6	0,0	10,0	10,0	18,0	30,0
Uganda	2011	61,7	50,3	74,8	80,6	90,5	73,2	45,0	60,0	30,0	25,0	87,8
Ukraine	2011	45,8	47,1	85,2	77,3	32,9	63,2	20,0	30,0	30,0	22,0	50,0
United Arab Emirates	2011	67,8	67,3	82,6	99,9	79,1	76,5	35,0	50,0	50,0	65,0	72,4
United Kingdom	2011	74,5	94,6	87,6	52,0	32,9	74,9	90,0	80,0	85,0	77,0	71,2
United States	2011	77,8	91,0	86,4	68,3	54,6	77,4	75,0	70,0	85,0	75,0	95,7
"Uruguay "	2011	70,0	61,5	83,0	84,3	76,5	72,8	80,0	30,0	70,0	67,0	74,9
Uzbekistan	2011	45,8	66,8	66,2	90,5	71,0	61,7	0,0	10,0	15,0	17,0	60,2
Vanuatu	2011	56,7	68,8	55,1	96,1	79,1	76,5	30,0	40,0	40,0	32,0	49,8
"Venezuela "	2011	37,6	47,8	61,2	75,0	65,3	47,0	5,0	20,0	5,0	19,0	31,1
Vietnam	2011	51,6	61,6	68,9	75,9	75,1	79,1	15,0	30,0	15,0	27,0	68,2
Yemen	2011	54,2	73,7	81,6	83,2	44,5	82,3	45,0	30,0	30,0	21,0	50,9
Zambia	2011	59,7	62,2	82,4	72,4	81,8	77,3	55,0	50,0	30,0	30,0	56,3
Zimbabwe	2011	22,1	32,1	45,0	70,3	0,0	0,0	0,0	10,0	5,0	22,0	36,8
Afghanistan	2010	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Albania	2010	66,0	68,0	85,8	92,6	74,2	78,7	70,0	70,0	35,0	34,0	52,1
Algeria	2010	56,9	71,2	70,7	83,5	73,4	77,2	45,0	30,0	30,0	32,0	56,4
Angola	2010	48,4	43,4	70,4	85,1	62,8	62,6	35,0	40,0	20,0	19,0	45,2
Argentina	2010	51,2	62,1	69,5	69,5	75,6	61,2	45,0	30,0	20,0	29,0	50,1
Armenia	2010	69,2	83,4	80,5	89,3	90,9	72,9	75,0	70,0	30,0	29,0	70,6
Australia	2010	82,6	90,3	85,1	61,4	64,9	82,7	80,0	90,0	90,0	87,0	94,9
Austria	2010	71,6	73,6	87,5	51,2	28,8	79,3	75,0	70,0	90,0	81,0	79,1
Azerbaijan	2010	58,8	74,6	77,1	79,5	77,5	62,7	55,0	40,0	20,0	19,0	82,5
Bahrain	2010	76,3	77,8	82,9	99,9	80,8	73,4	65,0	80,0	60,0	54,0	89,4
"Bangladesh "	2010	51,1	59,4	58,0	72,8	93,9	66,6	45,0	20,0	20,0	21,0	53,8
Barbados	2010	68,3	90,0	60,5	70,1	54,6	73,1	45,0	60,0	80,0	70,0	80,0
Belarus	2010	48,7	72,1	80,3	85,2	32,0	62,6	20,0	10,0	20,0	20,0	84,8
Belgium	2010	70,1	92,9	87,5	42,2	30,0	77,9	80,0	70,0	80,0	73,0	67,1
Belize	2010	61,5	74,1	71,5	68,3	74,9	75,6	50,0	50,0	40,0	29,0	81,7
Benin	2010	55,4	42,3	57,0	75,9	85,2	74,6	60,0	50,0	30,0	31,0	47,8
Bhutan	2010	57,0	60,5	52,0	84,1	58,3	73,4	15,0	30,0	60,0	52,0	85,1
Bolivia	2010	49,4	57,3	76,9	84,3	67,5	63,2	15,0	50,0	10,0	30,0	39,4
Bosnia and Herzegovina	2010	56,2	61,3	80,8	83,2	28,8	74,7	70,0	60,0	10,0	32,0	61,2
Botswana	2010	70,3	70,5	73,9	74,1	67,1	68,8	80,0	70,0	70,0	58,0	70,8
Brazil	2010	55,6	54,5	69,2	68,4	50,3	75,8	45,0	50,0	50,0	35,0	57,5
Bulgaria	2010	62,3	77,8	87,4	86,3	48,3	69,5	50,0	60,0	30,0	36,0	78,1
Burkina Faso	2010	59,4	60,0	71,3	80,4	80,0	73,0	50,0	50,0	30,0	35,0	64,4
Burma	2010	36,7	20,0	72,3	81,9	98,4	46,5	0,0	10,0	5,0	13,0	20,0
Burundi	2010	47,5	37,8	68,6	72,2	42,7	62,7	50,0	30,0	25,0	19,0	66,9
Cambodia	2010	56,6	39,9	70,0	91,0	92,9	70,5	60,0	50,0	30,0	18,0	43,6
Cameroon	2010	52,3	37,2	59,7	71,8	92,7	71,9	35,0	50,0	30,0	23,0	52,2
Canada	2010	80,4	96,5	88,1	76,7	54,1	75,4	75,0	80,0	90,0	87,0	81,5
Cape Verde	2010	61,8	63,3	65,5	65,6	65,3	74,5	60,0	60,0	65,0	51,0	48,1
Central African Republic	2010	48,4	37,5	58,1	65,5	94,1	68,3	40,0	30,0	20,0	20,0	50,7
Chad	2010	47,5	32,7	58,4	50,5	89,2	76,7	45,0	40,0	20,0	16,0	46,9
Chile	2010	77,2	64,8	88,0	77,5	89,6	73,0	80,0	70,0	85,0	69,0	75,4
China	2010	51,0	49,7	72,2	70,2	88,1	70,6	20,0	30,0	20,0	36,0	53,2
Colombia	2010	65,5	83,6	72,5	74,3	74,8	74,0	55,0	60,0	50,0	38,0	72,7
Comoros	2010	44,9	43,7	62,4	65,0	85,1	76,4	10,0	20,0	30,0	25,0	31,4
"Costa Rica "	2010	65,9	59,3	82,5	82,4	87,0	67,8	70,0	50,0	50,0	51,0	59,0
"Côte d'Ivoire "	2010	54,1	43,7	64,3	78,3	87,1	76,0	35,0	50,0	30,0	20,0	56,1
Croatia	2010	59,2	61,5	87,8	70,3	47,1	75,8	65,0	60,0	40,0	44,0	40,8
Cuba	2010	26,7	10,0	61,7	45,9	0,0	66,7	0,0	10,0	10,0	43,0	20,0
Cyprus	2010	70,9	80,3	82,5	72,7	44,8	82,9	70,0	70,0	80,0	64,0	61,5
Czech Republic	2010	69,8	65,5	87,5	80,1	45,6	75,6	70,0	80,0	65,0	52,0	76,4
Democratic Republic of Congo	2010	41,4	33,5	61,7	74,0	90,5	58,7	15,0	20,0	10,0	17,0	33,4
Denmark	2010	77,9	97,9	87,5	35,9	22,0	79,3	90,0	90,0	90,0	93,0	93,7
Djibouti	2010	51,0	35,7	31,9	78,2	58,9	70,5	60,0	60,0	30,0	30,0	55,3
Dominica	2010	63,2	75,4	74,3	67,7	49,8	80,0	65,0	30,0	65,0	60,0	65,2
Dominican Republic	2010	60,3	62,4	80,0	85,3	90,2	70,8	55,0	40,0	30,0	30,0	59,6
Ecuador	2010	49,3	52,9	71,8	79,3	77,5	63,9	25,0	40,0	20,0	20,0	42,2
Egypt	2010	59,0	65,0	74,0	89,7	73,4	64,2	50,0	50,0	40,0	28,0	55,6
"El Salvador "	2010	69,9	67,4	83,8	85,7	89,2	74,1	75,0	70,0	50,0	39,0	64,5
Equatorial Guinea	2010	48,6	44,8	58,9	75,5	83,9	80,9	20,0	40,0	20,0	17,0	44,8
Eritrea	2010	35,3	18,0	69,1	73,0	6,9	59,0	0,0	20,0	10,0	26,0	70,8
Estonia	2010	74,7	83,1	87,5	80,2	62,2	71,1	90,0	80,0	80,0	66,0	47,0
Ethiopia	2010	51,2	66,3	61,9	77,7	82,9	60,4	25,0	20,0	30,0	26,0	61,5
Fiji	2010	60,3	63,5	71,0	75,7	80,6	73,6	25,0	60,0	30,0	40,0	84,0
Finland	2010	73,8	95,0	87,5	65,4	32,9	78,9	75,0	80,0	90,0	90,0	43,8
France	2010	64,2	86,3	82,5	51,9	17,9	79,7	50,0	70,0	80,0	69,0	54,7
Gabon	2010	55,4	58,8	62,1	61,5	86,4	71,4	45,0	40,0	40,0	31,0	57,4
Georgia	2010	70,4	87,9	89,1	89,1	65,3	70,2	70,0	60,0	40,0	39,0	93,7
Germany	2010	71,1	89,6	87,5	58,3	41,4	79,9	85,0	60,0	90,0	79,0	39,9
Ghana	2010	60,2	56,8	65,3	83,5	58,9	65,9	65,0	60,0	50,0	39,0	57,4
Greece	2010	62,7	77,4	82,5	65,9	41,9	77,6	60,0	60,0	60,0	47,0	55,1
"Guatemala "	2010	61,0	52,5	84,0	79,3	93,9	70,2	60,0	50,0	35,0	31,0	54,3
Guinea	2010	51,8	43,7	60,0	69,9	93,1	57,4	40,0	40,0	20,0	16,0	78,0
Guinea-Bissau	2010	43,6	23,4	58,2	88,6	47,3	67,0	30,0	30,0	20,0	19,0	52,5
Guyana	2010	48,4	63,4	71,3	55,9	26,2	71,0	30,0	40,0	35,0	26,0	65,2
Haiti	2010	50,8	36,0	79,1	81,5	91,3	67,1	30,0	30,0	10,0	14,0	69,2
"Honduras "	2010	58,3	63,0	83,7	84,7	73,5	70,2	60,0	60,0	30,0	26,0	31,6
Hong Kong	2010	89,7	98,7	90,0	93,0	93,7	83,1	90,0	90,0	90,0	81,0	87,4
"Hungary "	2010	66,1	76,8	87,5	68,6	25,9	74,1	75,0	70,0	65,0	51,0	67,6
Iceland	2010	73,7	93,0	87,9	75,4	45,8	69,9	65,0	60,0	90,0	89,0	60,8
India	2010	53,8	36,3	67,9	73,4	76,1	67,5	35,0	40,0	50,0	34,0	57,7
Indonesia	2010	55,5	53,1	77,9	81,9	89,1	70,8	35,0	40,0	30,0	26,0	50,8
Iran	2010	43,4	69,9	50,2	81,1	79,6	54,7	0,0	10,0	10,0	23,0	55,1
Iraq	2010	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Ireland	2010	81,3	92,8	87,5	71,1	61,8	79,0	95,0	80,0	90,0	77,0	79,0
Israel	2010	67,7	66,4	87,8	58,4	35,4	78,2	85,0	70,0	70,0	60,0	65,4
Italy	2010	62,7	77,9	87,5	55,2	31,2	79,0	75,0	60,0	55,0	48,0	58,2
