ISO3,Name,Value,Trend,,,,,,,,,,,,,,
IRL,Ireland,0.031113345,1,,,,,,,,,,,,,,
ISR,Israel,0.112131578,1,,,,,,,,,,,,,,
ITA,Italy,0.038831569,1,,,,,,,,,,,,,,
JAM,Jamaica,0.200255979,1,,,,,,,,,,,,,,
JPN,Japan,0.010732265,1,,,,,,,,,,,,,,
JOR,Jordan,0.034737748,1,,,,,,,,,,,,,,
KAZ,Kazakhstan,-0.005130886,-1,,,,,,,,,,,,,,
KEN,Kenya,0.017915015,1,,,,,,,,,,,,,,
KIR,Kiribati,0.02539955,1,,,,,,,,,,,,,,
PRK,"Korea, Democratic People's Republic of",0.032274782,1,,,,,,,,,,,,,,
KOR,"Korea, Republic of",0.101195201,1,,,,,,,,,,,,,,
KWT,Kuwait,0.019300481,1,,,,,,,,,,,,,,
KGZ,Kyrgyzstan,-0.010778156,-1,,,,,,,,,,,,,,
LAO,Laos,-0.077794876,-1,,,,,,,,,,,,,,
LVA,Latvia,0.015372746,1,,,,,,,,,,,,,,
LBN,Lebanon,0.011118397,1,,,,,,,,,,,,,,
LSO,Lesotho,0.104870568,1,,,,,,,,,,,,,,
LBR,Liberia,0.117931543,1,,,,,,,,,,,,,,
LBY,Libyan Arab Jamahiriya,-0.009775555,-1,,,,,,,,,,,,,,
LIE,Liechtenstein,0.001993129,1,,,,,,,,,,,,,,
LTU,Lithuania,-0.022877622,-1,,,,,,,,,,,,,,
LUX,Luxembourg,0.081905505,1,,,,,,,,,,,,,,
MDG,Madagascar,0.198329101,1,,,,,,,,,,,,,,
MWI,Malawi,,,,,,,,,,,,,,,,
MYS,Malaysia,-0.010471719,-1,,,,,,,,,,,,,,
MDV,Maldives,0.007314444,1,,,,,,,,,,,,,,
MLI,Mali,-0.016955363,-1,,,,,,,,,,,,,,
MLT,Malta,0.024769978,1,,,,,,,,,,,,,,
MHL,Marshall Islands,0.026047652,1,,,,,,,,,,,,,,
MRT,Mauritania,-0.01430061,-1,,,,,,,,,,,,,,
MUS,Mauritius,0.009804197,1,,,,,,,,,,,,,,
MEX,Mexico,0.009928462,1,,,,,,,,,,,,,,
FSM,"Micronesia, Federated States of",,,,,,,,,,,,,,,,
MDA,"Moldova, Republic of",-0.015589792,-1,,,,,,,,,,,,,,
MCO,Monaco,0.082652678,1,,,,,,,,,,,,,,
MKD,Macedonia ,0.026748583,1,,,,,,,,,,,,,,
MNG,Mongolia,0.001054116,1,,,,,,,,,,,,,,
MNE,Montenegro,0.037987282,1,,,,,,,,,,,,,,
MAR,Morocco,,,,,,,,,,,,,,,,
MOZ,Mozambique,0.127689141,1,,,,,,,,,,,,,,
MMR,Myanmar,0.057427273,1,,,,,,,,,,,,,,
NAM,Namibia,0.117685356,1,,,,,,,,,,,,,,
NRU,Nauru,0.060527635,1,,,,,,,,,,,,,,
NPL,Nepal,0.05685464,1,,,,,,,,,,,,,,
NLD,Netherlands,-0.035455743,-1,,,,,,,,,,,,,,
NZL,New Zealand,0.060936988,1,,,,,,,,,,,,,,
NIC,Nicaragua,,,,,,,,,,,,,,,,
NER,Niger,0.044774871,1,,,,,,,,,,,,,,
NGA,Nigeria,0.017317503,1,,,,,,,,,,,,,,
NOR,Norway,-0.005924881,-1,,,,,,,,,,,,,,
OMN,Oman,-0.016066454,-1,,,,,,,,,,,,,,
PAK,Pakistan,-0.016560635,-1,,,,,,,,,,,,,,
PLW,Palau,0.11396127,1,,,,,,,,,,,,,,
PAN,Panama,0.01694478,1,,,,,,,,,,,,,,
PNG,Papua New Guinea,0.071507716,1,,,,,,,,,,,,,,
PRY,Paraguay,0.026657714,1,,,,,,,,,,,,,,
PER,Peru,,,,,,,,,,,,,,,,
PHL,Philippines,0.036259926,1,,,,,,,,,,,,,,
POL,Poland,0.03314806,1,,,,,,,,,,,,,,
PRT,Portugal,0.143315784,1,,,,,,,,,,,,,,
QAT,Qatar,0.091397413,1,,,,,,,,,,,,,,
ROU,Romania,0.032278174,1,,,,,,,,,,,,,,
RUS,Russian Federation,0.059137871,1,,,,,,,,,,,,,,
RWA,Rwanda,0.010294892,1,,,,,,,,,,,,,,
KNA,Saint Kitts and Nevis,0.020147738,1,,,,,,,,,,,,,,
LCA,Saint Lucia,0.133469542,1,,,,,,,,,,,,,,
VCT,Saint Vincent and the Grenadines,-0.004607392,-1,,,,,,,,,,,,,,
WSM,Samoa,0.118873176,1,,,,,,,,,,,,,,
SMR,San Marino,,,,,,,,,,,,,,,,
STP,Sao Tome and Principe,0.037704131,1,,,,,,,,,,,,,,
SAU,Saudi Arabia,0.026652989,1,,,,,,,,,,,,,,
SEN,Senegal,0.044523738,1,,,,,,,,,,,,,,
SRB,Serbia,,,,,,,,,,,,,,,,
SYC,Seychelles,0.047346619,1,,,,,,,,,,,,,,
SLE,Sierra Leone,0.065977189,1,,,,,,,,,,,,,,
SGP,Singapore,-0.014326666,-1,,,,,,,,,,,,,,
SVK,Slovakia,0.08110309,1,,,,,,,,,,,,,,
SVN,Slovenia,0.010859932,1,,,,,,,,,,,,,,
SLB,Solomon Islands,0.078741501,1,,,,,,,,,,,,,,
SOM,Somalia,-0.01507382,-1,,,,,,,,,,,,,,
ZAF,South Africa,0.039802486,1,,,,,,,,,,,,,,
ESP,Spain,0.006716306,1,,,,,,,,,,,,,,
LKA,Sri Lanka,-0.000376228,-1,,,,,,,,,,,,,,
SDN,Sudan,,,,,,,,,,,,,,,,
SUR,Suriname,0.004795205,1,,,,,,,,,,,,,,
SWZ,Swaziland,0.003609241,1,,,,,,,,,,,,,,
SWE,Sweden,-0.011819257,-1,,,,,,,,,,,,,,
CHE,Switzerland,0.01823446,1,,,,,,,,,,,,,,
SYR,Syrian Arab Republic,0.039109892,1,,,,,,,,,,,,,,
TJK,Tajikistan,0.042981538,1,,,,,,,,,,,,,,
TZA,"Tanzania, United Republic of",0.006806888,1,,,,,,,,,,,,,,
THA,Thailand,0.013350754,1,,,,,,,,,,,,,,
TLS,Timor-Leste,0.043062497,1,,,,,,,,,,,,,,
TGO,Togo,0.111002646,1,,,,,,,,,,,,,,
TON,Tonga,0.053633751,1,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,0.011129811,1,,,,,,,,,,,,,,
TUN,Tunisia,-0.007610433,-1,,,,,,,,,,,,,,
TUR,Turkey,0.070320887,1,,,,,,,,,,,,,,
TKM,Turkmenistan,0.007074784,1,,,,,,,,,,,,,,
TUV,Tuvalu,0.005076519,1,,,,,,,,,,,,,,
UGA,Uganda,0.041449792,1,,,,,,,,,,,,,,
UKR,Ukraine,0.104617846,1,,,,,,,,,,,,,,
ARE,United Arab Emirates,0.039854103,1,,,,,,,,,,,,,,
GBR,United Kingdom,,,,,,,,,,,,,,,,
USA,United States,0.035695794,1,,,,,,,,,,,,,,
URY,Uruguay,0.002221467,1,,,,,,,,,,,,,,
UZB,Uzbekistan,0.015569961,1,,,,,,,,,,,,,,
VUT,Vanuatu,-0.014113867,-1,,,,,,,,,,,,,,
VEN,"Venezuela, Bolivarian Republic of",0.011241512,1,,,,,,,,,,,,,,
VNM,Viet Nam,0.116434365,1,,,,,,,,,,,,,,
YEM,Yemen,0.13822286,1,,,,,,,,,,,,,,
ZMB,Zambia,0.040590045,1,,,,,,,,,,,,,,
ZWE,Zimbabwe,0.048979383,1,,,,,,,,,,,,,,
