ISO3,Name,Value,Trend,,,,,,,,,,,,,,
IRL,Ireland,0.020308672,1,,,,,,,,,,,,,,
ISR,Israel,0.053335789,1,,,,,,,,,,,,,,
ITA,Italy,0.016306728,1,,,,,,,,,,,,,,
JAM,Jamaica,0.050097879,1,,,,,,,,,,,,,,
JPN,Japan,0.001310657,1,,,,,,,,,,,,,,
JOR,Jordan,0.020445969,1,,,,,,,,,,,,,,
KAZ,Kazakhstan,-0.007791987,-1,,,,,,,,,,,,,,
KEN,Kenya,0.023212273,1,,,,,,,,,,,,,,
KIR,Kiribati,0.011482846,1,,,,,,,,,,,,,,
PRK,"Korea, Democratic People's Republic of",0.015673253,1,,,,,,,,,,,,,,
KOR,"Korea, Republic of",0.043605868,1,,,,,,,,,,,,,,
KWT,Kuwait,0.01266017,1,,,,,,,,,,,,,,
KGZ,Kyrgyzstan,,,,,,,,,,,,,,,,
LAO,Laos,-0.007121222,-1,,,,,,,,,,,,,,
LVA,Latvia,0.01350643,1,,,,,,,,,,,,,,
LBN,Lebanon,0.005373068,1,,,,,,,,,,,,,,
LSO,Lesotho,0.031034717,1,,,,,,,,,,,,,,
LBR,Liberia,0.069595362,1,,,,,,,,,,,,,,
LBY,Libyan Arab Jamahiriya,-0.011491086,-1,,,,,,,,,,,,,,
LIE,Liechtenstein,-0.007001975,-1,,,,,,,,,,,,,,
LTU,Lithuania,-0.01092784,-1,,,,,,,,,,,,,,
LUX,Luxembourg,0.05947496,1,,,,,,,,,,,,,,
MDG,Madagascar,0.079781759,1,,,,,,,,,,,,,,
MWI,Malawi,,,,,,,,,,,,,,,,
MYS,Malaysia,-0.006900494,-1,,,,,,,,,,,,,,
MDV,Maldives,-0.007900027,-1,,,,,,,,,,,,,,
MLI,Mali,0.000447241,1,,,,,,,,,,,,,,
MLT,Malta,0.023496038,1,,,,,,,,,,,,,,
MHL,Marshall Islands,0.014077367,1,,,,,,,,,,,,,,
MRT,Mauritania,0.000732294,1,,,,,,,,,,,,,,
MUS,Mauritius,0.007493407,1,,,,,,,,,,,,,,
MEX,Mexico,0.001388415,1,,,,,,,,,,,,,,
FSM,"Micronesia, Federated States of",,,,,,,,,,,,,,,,
MDA,"Moldova, Republic of",0.001502458,1,,,,,,,,,,,,,,
MCO,Monaco,0.037914174,1,,,,,,,,,,,,,,
MKD,Macedonia ,0.011995291,1,,,,,,,,,,,,,,
MNG,Mongolia,-0.009159132,-1,,,,,,,,,,,,,,
MNE,Montenegro,0.015110048,1,,,,,,,,,,,,,,
MAR,Morocco,,,,,,,,,,,,,,,,
MOZ,Mozambique,0.047632086,1,,,,,,,,,,,,,,
MMR,Myanmar,0.030923017,1,,,,,,,,,,,,,,
NAM,Namibia,,,,,,,,,,,,,,,,
NRU,Nauru,0.022914871,1,,,,,,,,,,,,,,
NPL,Nepal,0.045025392,1,,,,,,,,,,,,,,
NLD,Netherlands,-0.008802217,-1,,,,,,,,,,,,,,
NZL,New Zealand,0.035748125,1,,,,,,,,,,,,,,
NIC,Nicaragua,,,,,,,,,,,,,,,,
NER,Niger,0.026199449,1,,,,,,,,,,,,,,
NGA,Nigeria,0.008899079,1,,,,,,,,,,,,,,
NOR,Norway,1.33866E-05,1,,,,,,,,,,,,,,
OMN,Oman,-0.015054366,-1,,,,,,,,,,,,,,
PAK,Pakistan,-0.000782583,-1,,,,,,,,,,,,,,
PLW,Palau,0.056251188,1,,,,,,,,,,,,,,
PAN,Panama,0.009827462,1,,,,,,,,,,,,,,
PNG,Papua New Guinea,0.036100893,1,,,,,,,,,,,,,,
PRY,Paraguay,0.009161273,1,,,,,,,,,,,,,,
PER,Peru,,,,,,,,,,,,,,,,
PHL,Philippines,0.018090643,1,,,,,,,,,,,,,,
POL,Poland,0.019197584,1,,,,,,,,,,,,,,
PRT,Portugal,0.062070168,1,,,,,,,,,,,,,,
QAT,Qatar,0.048604811,1,,,,,,,,,,,,,,
ROU,Romania,0.019541753,1,,,,,,,,,,,,,,
RUS,Russian Federation,0.036692866,1,,,,,,,,,,,,,,
RWA,Rwanda,0.007257633,1,,,,,,,,,,,,,,
KNA,Saint Kitts and Nevis,0.015610477,1,,,,,,,,,,,,,,
LCA,Saint Lucia,0.063290499,1,,,,,,,,,,,,,,
VCT,Saint Vincent and the Grenadines,0.000410456,1,,,,,,,,,,,,,,
WSM,Samoa,0.070817857,1,,,,,,,,,,,,,,
SMR,San Marino,,,,,,,,,,,,,,,,
STP,Sao Tome and Principe,0.012914625,1,,,,,,,,,,,,,,
SAU,Saudi Arabia,0.0136085,1,,,,,,,,,,,,,,
SEN,Senegal,0.025072279,1,,,,,,,,,,,,,,
SRB,Serbia,,,,,,,,,,,,,,,,
SYC,Seychelles,0.014717287,1,,,,,,,,,,,,,,
SLE,Sierra Leone,0.027712836,1,,,,,,,,,,,,,,
SGP,Singapore,-0.003211913,-1,,,,,,,,,,,,,,
SVK,Slovakia,0.042163018,1,,,,,,,,,,,,,,
SVN,Slovenia,0.00725311,1,,,,,,,,,,,,,,
SLB,Solomon Islands,0.036231731,1,,,,,,,,,,,,,,
SOM,Somalia,-0.007113894,-1,,,,,,,,,,,,,,
ZAF,South Africa,0.005091892,1,,,,,,,,,,,,,,
ESP,Spain,0.003135226,1,,,,,,,,,,,,,,
LKA,Sri Lanka,0.006138594,1,,,,,,,,,,,,,,
SDN,Sudan,,,,,,,,,,,,,,,,
SUR,Suriname,0.006156169,1,,,,,,,,,,,,,,
SWZ,Swaziland,0.000263847,1,,,,,,,,,,,,,,
SWE,Sweden,-0.008498983,-1,,,,,,,,,,,,,,
CHE,Switzerland,0.025705787,1,,,,,,,,,,,,,,
SYR,Syrian Arab Republic,0.023190869,1,,,,,,,,,,,,,,
TJK,Tajikistan,0.025876328,1,,,,,,,,,,,,,,
TZA,"Tanzania, United Republic of",0.003328586,1,,,,,,,,,,,,,,
THA,Thailand,0.006408832,1,,,,,,,,,,,,,,
TLS,Timor-Leste,0.014665522,1,,,,,,,,,,,,,,
TGO,Togo,0.038330364,1,,,,,,,,,,,,,,
TON,Tonga,0.02663833,1,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,0.005430828,1,,,,,,,,,,,,,,
TUN,Tunisia,-0.000520188,-1,,,,,,,,,,,,,,
TUR,Turkey,0.03756016,1,,,,,,,,,,,,,,
TKM,Turkmenistan,0.002466459,1,,,,,,,,,,,,,,
TUV,Tuvalu,0.00207911,1,,,,,,,,,,,,,,
UGA,Uganda,0.019580572,1,,,,,,,,,,,,,,
UKR,Ukraine,0.05273976,1,,,,,,,,,,,,,,
ARE,United Arab Emirates,0.01059509,1,,,,,,,,,,,,,,
GBR,United Kingdom,,,,,,,,,,,,,,,,
USA,United States,0.020937631,1,,,,,,,,,,,,,,
URY,Uruguay,0.000549271,1,,,,,,,,,,,,,,
UZB,Uzbekistan,0.010834675,1,,,,,,,,,,,,,,
VUT,Vanuatu,-0.005565291,-1,,,,,,,,,,,,,,
VEN,"Venezuela, Bolivarian Republic of",0.0066845,1,,,,,,,,,,,,,,
VNM,Viet Nam,0.06333172,1,,,,,,,,,,,,,,
YEM,Yemen,0.038884483,1,,,,,,,,,,,,,,
ZMB,Zambia,0.027311944,1,,,,,,,,,,,,,,
ZWE,Zimbabwe,0.014718149,1,,,,,,,,,,,,,,
